name|astext
Tazlina|POINT(-145.418545976678 62.0300548059888)
Chenega Bay|POINT(-148.005072837508 60.0739814345215)
Nelson Lagoon|POINT(-161.202675679446 56.0003937529637)
Port Moller|POINT(-160.578663920435 55.9891829614258)
Eyak|POINT(-145.701902184701 60.5646846373107)
Alatna|POINT(-152.762523944223 66.5963055217118)
King Island|POINT(-168.067636080506 64.9685673107256)
Poorman|POINT(-155.546435774194 64.0984504102501)
Iditarod|POINT(-158.096816054886 62.5441562202459)
Karluk|POINT(-154.457759844708 57.5712164766268)
Lower Kalskag|POINT(-160.3603730664 61.511475596143)
Upper Kalskag|POINT(-160.307518171471 61.5364705143409)
Chalkyitsik|POINT(-143.724785018446 66.6541103129876)
Cantwell|POINT(-148.953089383914 63.3912006463319)
Seward|POINT(-149.444210991097 60.103772571216)
Moose Pass|POINT(-149.369313471898 60.4869789011925)
Cooper Landing|POINT(-149.835368608982 60.4899773360577)
Palmer|POINT(-149.11488134439 61.5991620655245)
Wasilla|POINT(-149.441552242293 61.580821737638)
Houston|POINT(-149.820225333453 61.6297109260305)
Knik|POINT(-149.731112683221 61.4572211403904)
Sutton|POINT(-148.896369834903 61.7108371208048)
Chickaloon|POINT(-148.464987381764 61.7961398090565)
Susitna|POINT(-150.514684038213 61.5430667691347)
Willow|POINT(-150.03971071108 61.74665700914)
Eklutna|POINT(-149.364398831113 61.4574999416044)
Glennallen|POINT(-145.548543410311 62.1086931262873)
Copper Center|POINT(-145.307313974326 61.9545112089957)
Tonsina|POINT(-145.177284687492 61.655337397558)
Chitina|POINT(-144.438983192583 61.5153321923172)
Lower Tonsina|POINT(-144.660674159605 61.6545225771065)
Gulkana|POINT(-145.384356881148 62.270902852037)
Gakona|POINT(-145.304035974081 62.3014867749124)
Chistochina|POINT(-144.666842046805 62.5645562287431)
Nabesna|POINT(-143.01067808606 62.3715402575905)
McCarthy|POINT(-142.923700236316 61.4328796727367)
Yakutat|POINT(-139.728832945099 59.5466348537381)
Skagway|POINT(-135.315674931203 59.4579861476509)
Haines|POINT(-135.446774561701 59.235482523928)
Klukwan|POINT(-135.895655666215 59.3988057331307)
Juneau|POINT(-134.4214486443 58.3016138368914)
Pelican|POINT(-136.229246613331 57.9604330014895)
Tenakee Springs|POINT(-135.220650273271 57.7804806030169)
Hoonah|POINT(-135.445407726528 58.1096445618471)
Elfin Cove|POINT(-136.345096844017 58.1940559245345)
Angoon|POINT(-134.585623154653 57.502992714115)
Kake|POINT(-133.948870234043 56.9754934325962)
Wrangell|POINT(-132.378272560628 56.4704836859973)
Point Baker|POINT(-133.622847575729 56.3523902329899)
Petersburg|POINT(-132.95716783153 56.8121534309838)
Kupreanof|POINT(-133.007647556879 56.8149557921733)
Port Alexander|POINT(-134.646173043688 56.2493149611355)
Edna Bay|POINT(-133.663834112479 55.948504130455)
Craig|POINT(-133.150004896992 55.4760445879783)
Klawock|POINT(-133.097516469122 55.5518730276908)
Kasaan|POINT(-132.402438670521 55.5385155412876)
Hydaburg|POINT(-132.82830541321 55.2076876213831)
Meyers Chuck|POINT(-132.258033970391 55.7404505409423)
Ketchikan|POINT(-131.647681907777 55.3418472008377)
Saxman|POINT(-131.597511361225 55.3179828226004)
Metlakatla|POINT(-131.573821459272 55.1288070628095)
Hyder|POINT(-130.026361928595 55.9166383360045)
Sitka|POINT(-135.331720120567 57.0526774194436)
Cordova|POINT(-145.759430218977 60.5422140164114)
Valdez|POINT(-146.350295433044 61.1303070140268)
Tatitlek|POINT(-146.680609268988 60.8641755465028)
Seldovia|POINT(-151.713409454342 59.4374334196848)
Port Graham|POINT(-151.831806401184 59.3507509401067)
Anchor Point|POINT(-151.833462837007 59.7760289689493)
Homer|POINT(-151.550344780098 59.6418742694671)
Ninilchik|POINT(-151.671027284853 60.0507614808162)
Clam Gulch|POINT(-151.39577417879 60.2305280768244)
Kasilof|POINT(-151.276629209238 60.3369139539748)
Kenai|POINT(-151.260530389886 60.5538722897187)
Soldotna|POINT(-151.060450267147 60.4871915768063)
Whittier|POINT(-148.685965505473 60.7724646469714)
Hope|POINT(-149.642432061719 60.9196874074357)
Tyonek|POINT(-151.13907904597 61.0674945394596)
Talkeetna|POINT(-150.111633961539 62.323375476676)
Healy|POINT(-148.968625080939 63.8572990815087)
Tanacross|POINT(-143.348555098455 63.3848992204084)
Northway|POINT(-141.939326943783 62.9613056279993)
Tok|POINT(-142.987705354903 63.3362901305828)
Chicken|POINT(-141.938314801719 64.0729749705527)
Delta Junction|POINT(-145.734503269537 64.0373234777119)
Big Delta|POINT(-145.844501852732 64.1520673570165)
Eagle|POINT(-141.202262463219 64.7877482738668)
Eagle Village|POINT(-141.115834711164 64.7802450379729)
Central|POINT(-144.805436324463 65.5720879048119)
Circle Hot Springs|POINT(-144.636606177078 65.4829148307906)
Chena Hot Springs|POINT(-146.057974099932 65.0526433386603)
Fairbanks|POINT(-147.718732561589 64.8373374960524)
Fox|POINT(-147.62072268377 64.9575788585825)
Ester|POINT(-148.016831785321 64.8467310178886)
North Pole|POINT(-147.351776708035 64.7506741282469)
Livengood|POINT(-148.547187052743 65.5239788916425)
Lake Minchumina|POINT(-152.314476931607 63.8822051345964)
Anderson|POINT(-149.189260824024 64.3436517045795)
Nenana|POINT(-149.09541368663 64.5633795533736)
Tanana|POINT(-152.081357751462 65.1714154011597)
Manley Hot Springs|POINT(-150.636252359453 65.000608454833)
Rampart|POINT(-150.172449015905 65.5044723509984)
Circle|POINT(-144.063025660932 65.8251616262243)
Fort Yukon|POINT(-145.276414824347 66.564353164406)
Venetie|POINT(-146.421242745511 67.0134934784779)
Beaver|POINT(-147.398969454102 66.3590422015197)
Stevens Village|POINT(-149.093401964855 66.0059092830417)
Anaktuvuk Pass|POINT(-151.738519218598 68.1428740954176)
Bettles|POINT(-151.685678784285 66.9064550605929)
Allakaket|POINT(-152.6481679466 66.5650567403101)
Evansville|POINT(-151.510629895002 66.9222667357803)
Wiseman|POINT(-150.110164157124 67.4095470688808)
Kobuk|POINT(-156.883828672039 66.9066134962714)
Shungnak|POINT(-157.139085875734 66.8874447280389)
Ambler|POINT(-157.854102979586 67.0854966073252)
Kotzebue|POINT(-162.599358759681 66.897649642017)
Kiana|POINT(-160.425532284172 66.9743521835062)
Noorvik|POINT(-161.035506849811 66.83767805559)
Selawik|POINT(-160.009586233481 66.6032568862263)
Noatak|POINT(-162.96808354581 67.5704410067964)
Shishmaref|POINT(-166.074680361442 66.2559300182269)
Kivalina|POINT(-164.536237593271 67.7262381687493)
Wainwright|POINT(-160.041742983359 70.6363850788159)
Point Lay|POINT(-163.054250536575 69.7568400884021)
Point Hope|POINT(-166.81098883955 68.3469912178473)
Atqasuk|POINT(-157.399095135813 70.4689639152614)
Barrow|POINT(-156.792050644105 71.2901080679405)
Nuiqsut|POINT(-150.979427465377 70.2171377530567)
Kaktovik|POINT(-143.626563509374 70.1317286526571)
Arctic Village|POINT(-145.54049750073 68.1265846620675)
Huslia|POINT(-156.402256504881 65.698024636589)
Hughes|POINT(-154.258128227945 66.0482835015667)
Galena|POINT(-156.929971807364 64.7326510842825)
Kaltag|POINT(-158.724404474409 64.3265405377695)
Nulato|POINT(-158.105528357861 64.7187755773652)
Koyukuk|POINT(-157.703308785132 64.8796145272098)
Ruby|POINT(-155.489401169052 64.7388400987461)
Nome|POINT(-165.408960887755 64.5003312299158)
Golovin|POINT(-163.031635770648 64.542542846296)
Elim|POINT(-162.263066701496 64.6167805670033)
White Mountain|POINT(-163.408112200209 64.6806052054177)
Koyuk|POINT(-161.159449539682 64.9312030243681)
Buckland|POINT(-161.125745945599 65.9790156067588)
Teller|POINT(-166.363394006471 65.2628424805944)
Brevig Mission|POINT(-166.491822719288 65.3339478894499)
Deering|POINT(-162.719878117759 66.0748178680806)
Candle|POINT(-161.927134226459 65.912655033841)
Solomon|POINT(-164.441692512688 64.5600434265694)
Council|POINT(-163.67888406258 64.8942307743165)
Marys Igloo|POINT(-165.065883191284 65.1470176520428)
Wales|POINT(-168.090183076602 65.6083480191341)
Gambell|POINT(-171.743900407669 63.7787665571929)
Saint Mary's|POINT(-163.16815976957 62.0522789981019)
Pilot Station|POINT(-162.877380722162 61.9381161082558)
Scammon Bay|POINT(-165.584025642728 61.8419678662985)
Hooper Bay|POINT(-166.098893966088 61.5302803680516)
Sheldon Point|POINT(-164.84347663576 62.5328080075726)
Alakanuk|POINT(-164.617661101521 62.6880852475546)
Emmonak|POINT(-164.525383248068 62.7769848935678)
Stebbins|POINT(-162.290423913624 63.5214706466986)
Saint Michael|POINT(-162.041522936313 63.4772863226606)
Kotlik|POINT(-163.555668128338 63.0333814508504)
Hamilton|POINT(-163.781253319343 62.9489343423852)
Chuloonawick|POINT(-163.896608753163 62.8953128766571)
Pitkas Point|POINT(-163.290107828908 62.0320127183408)
Chevak|POINT(-165.588646297693 61.5269621383862)
Marshall|POINT(-162.08343416367 61.8770331284266)
Ohogamiut|POINT(-161.865881522652 61.5670031852054)
Holy Cross|POINT(-159.773728756632 62.1987139071505)
Shageluk|POINT(-159.564283414588 62.6815068937962)
Anvik|POINT(-160.209057863922 62.6553769781482)
Flat|POINT(-158.009850136946 62.4528982009701)
Aniak|POINT(-159.524568613589 61.5775883347954)
Napamiute|POINT(-158.676436820759 61.5392682430112)
Crooked Creek|POINT(-158.113113922084 61.8692947950518)
Sleetmute|POINT(-157.172045306332 61.7017953297613)
Stony River|POINT(-156.590365869041 61.7823700477447)
Lime Village|POINT(-155.437841906829 61.3557027336179)
Red Devil|POINT(-157.314875607265 61.7604186920205)
Unalakleet|POINT(-160.790439234062 63.8723323875774)
McGrath|POINT(-155.598171667039 62.9557337475779)
Takotna|POINT(-156.066444473079 62.9879570707488)
Ophir|POINT(-156.521774159688 63.144085959279)
Nikolai|POINT(-154.377294029831 63.0126975749933)
Medfra|POINT(-154.716424873105 63.1060473178964)
Clark's Point|POINT(-158.552958693423 58.8433955871885)
Nondalton|POINT(-154.848019419738 59.9729234698362)
Aleknagik|POINT(-158.619875958316 59.2722970935132)
Ekwok|POINT(-157.477406888021 59.348973280048)
New Stuyahok|POINT(-157.314080675553 59.452035204758)
Naknek|POINT(-157.015935611015 58.7276021476328)
King Salmon|POINT(-156.663512483317 58.6875981824244)
Koliganek|POINT(-157.286629272681 59.7278876372009)
Igiugig|POINT(-155.89681597764 59.3270499995657)
Iliamna|POINT(-154.819314560771 59.7529178798797)
Port Alsworth|POINT(-154.31494980806 60.2018179377273)
Newhalen|POINT(-154.899391512809 59.7192861401485)
Levelock|POINT(-156.858728088731 59.1142665706505)
South Naknek|POINT(-157.000187694871 58.7148154762055)
Goodnews Bay|POINT(-161.59073074851 59.1178106429524)
Platinum|POINT(-161.818538962352 59.0122504745436)
Togiak|POINT(-160.378554858862 59.0611517772115)
Quinhagak|POINT(-161.91802904743 59.7480998109274)
Eek|POINT(-162.026690976269 60.2181097049048)
Twin Hills|POINT(-160.277113183763 59.0783959290147)
Kwigillingok|POINT(-163.136435626927 59.8636670503953)
Mekoryuk|POINT(-166.187213232842 60.3872295572564)
Tununak|POINT(-165.258032333568 60.5847485244584)
Toksook Bay|POINT(-165.104714254827 60.5294836141747)
Nightmute|POINT(-164.726182223319 60.4786462411197)
Newtok|POINT(-164.631721206691 60.9419594728257)
Kipnuk|POINT(-164.043669830523 59.9380985236554)
Umkumiute|POINT(-165.201144901606 60.4975319722443)
Bethel|POINT(-161.758034293093 60.7914540460645)
Tuluksak|POINT(-160.963854205171 61.1017402676537)
Napakiak|POINT(-161.954198548607 60.6958998722131)
Napaskiak|POINT(-161.768283961691 60.7072849288503)
Kwethluk|POINT(-161.438085250621 60.8114466543326)
Akiak|POINT(-161.216164084373 60.9114573428621)
Akiachak|POINT(-161.43357403185 60.9086775284154)
Nunapitchuk|POINT(-162.461660192706 60.8961867708017)
Kasigluk|POINT(-162.522818149693 60.8947831063077)
Kodiak|POINT(-152.409283327059 57.7892277327851)
Akhiok|POINT(-154.172469737136 56.9447267652424)
Port Lions|POINT(-152.88441999503 57.8667580498809)
Old Harbor|POINT(-153.30608421343 57.2019736829902)
Larsen Bay|POINT(-153.980821463934 57.5392518309586)
Afognak|POINT(-152.770139268476 58.0070286648571)
Woody Island|POINT(-152.357399424995 57.7792462245397)
Chignik|POINT(-158.404257691481 56.2944790856795)
Egegik|POINT(-157.377847033411 58.2148078173571)
Pilot Point|POINT(-157.581190065797 57.5634018376833)
Ugashik|POINT(-157.399543998246 57.5122875339825)
Sand Point|POINT(-160.499204305558 55.3388993821899)
Squaw Harbor|POINT(-160.555248611673 55.2424894642888)
Unga|POINT(-160.508362507877 55.1819439051585)
Nikolski|POINT(-168.869742448909 52.9370500578)
Adak Station|POINT(-176.660434559719 51.8785955024472)
Cold Bay|POINT(-162.723081196928 55.1849491324038)
Dillingham|POINT(-158.459584468624 59.0389579589704)
Dry Creek|POINT(-144.56894553359 63.699625724194)
Gustavus|POINT(-135.739329859692 58.4121570079999)
Telida|POINT(-153.268967829171 63.3827592418006)
Whale Pass|POINT(-133.168386000728 56.0996421612066)
Mendeltna|POINT(-146.50767930509 62.0401187549783)
Nelchina|POINT(-146.548726907909 62.0394028543094)
